n_caso;Sexo;idade;grupoet;habilit;p1;p2;p3;p4;p5a;p5b;p5c;p5d;p5e;p5f;p5g;p5h;p5i;p5j;p5k;pb;pc;pd;pe
59;Masculino;41;de 40 a 44 anos;até ensino secundário;Sol;60;Ler algumas secções;6;Concordo;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;15;75;correio da manhã
90;Masculino;28;de 25 a 29 anos;ensino médio e superior;Sol;90;Ler algumas secções;6;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo;Nao concordo nem discordo;diários e semanários;12;130;diário de notícias
100;Masculino;28;de 25 a 29 anos;9;Sol;90;Ler algumas secções;6;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;diários e semanários;5;100;diário de notícias
1;Feminino;33;de 30 a 34 anos;até ensino secundário;Expresso;60;Ler tudo com atenção;8;Discordo;Discordo;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Discordo;Concordo completamente;Concordo completamente;diários e semanários;5;70;9
5;Feminino;33;de 30 a 34 anos;até ensino secundário;Expresso;60;Ler tudo com atenção;5;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;diários e semanários;2;70;correio da manhã
11;Feminino;45;>= 45 anos;até ensino secundário;Expresso;120;Ler tudo com atenção;3;Discordo completamente;Discordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;3;140;diário de notícias
13;Feminino;28;de 25 a 29 anos;ensino médio e superior;Expresso;90;Ler tudo com atenção;9;Nao concordo nem discordo;Discordo;Concordo completamente;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo completamente;Nao concordo nem discordo;Discordo completamente;diários e semanários;10;110;diário de notícias
14;Feminino;99;9;ensino médio e superior;Expresso;150;Ler tudo com atenção;9;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;10;180;diário de notícias
20;Feminino;99;9;ensino médio e superior;Expresso;150;Ler tudo com atenção;7;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;diários e semanários;7;180;diário de notícias
22;Feminino;37;de 35 a 39 anos;ensino médio e superior;Expresso;120;Ler tudo com atenção;6;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;diários e semanários;6;140;a capital
31;Feminino;30;de 30 a 34 anos;ensino médio e superior;Expresso;180;Ler tudo com atenção;4;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo;diários e semanários;7;210;correio da manhã
34;Feminino;28;de 25 a 29 anos;ensino médio e superior;Expresso;90;Ler tudo com atenção;2;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;diários e semanários;9;100;outro
35;Masculino;99;9;até ensino secundário;Expresso;60;Ler tudo com atenção;10;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Concordo;Concordo completamente;Nao concordo nem discordo;Concordo;diários e semanários;6;70;público
44;Masculino;99;9;até ensino secundário;Expresso;60;Ler tudo com atenção;7;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;6;70;diário de notícias
45;Masculino;33;de 30 a 34 anos;até ensino secundário;Expresso;120;Ler tudo com atenção;7;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;diários e semanários;7;140;outro
51;Masculino;40;de 40 a 44 anos;até ensino secundário;Expresso;150;Ler tudo com atenção;6;Discordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;11;180;diário de notícias
53;Masculino;29;de 25 a 29 anos;até ensino secundário;Expresso;180;Ler tudo com atenção;6;Concordo;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo;Concordo;diários e semanários;13;210;correio da manhã
54;Masculino;99;9;até ensino secundário;Expresso;75;Ler tudo com atenção;6;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo completamente;diários e semanários;16;90;correio da manhã
56;Masculino;28;de 25 a 29 anos;até ensino secundário;Expresso;105;Ler tudo com atenção;6;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Discordo;Discordo;diários e semanários;11;120;correio da manhã
61;Masculino;39;de 35 a 39 anos;até ensino secundário;Expresso;165;Ler tudo com atenção;5;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Nao concordo nem discordo;diários e semanários;7;200;público
62;Masculino;28;de 25 a 29 anos;até ensino secundário;Expresso;150;Ler tudo com atenção;5;Discordo;Discordo completamente;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Discordo;diários e semanários;4;180;diário de notícias
65;Masculino;39;de 35 a 39 anos;até ensino secundário;Expresso;165;Ler tudo com atenção;4;Nao concordo nem discordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;diários e semanários;7;180;diário de notícias
72;Masculino;24;< 25 anos;ensino médio e superior;Expresso;135;Ler tudo com atenção;16;Discordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Nao concordo nem discordo;só semanários;7;170;diário de notícias
74;Masculino;32;de 30 a 34 anos;ensino médio e superior;Expresso;120;Ler tudo com atenção;15;Discordo;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Discordo completamente;Discordo;Nao concordo nem discordo;Concordo;Concordo;Nao concordo nem discordo;Discordo completamente;diários e semanários;3;140;diário de notícias
80;Masculino;25;de 25 a 29 anos;ensino médio e superior;Expresso;195;Ler tudo com atenção;12;Nao concordo nem discordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;5;230;a capital
81;Masculino;44;de 40 a 44 anos;ensino médio e superior;Expresso;90;Ler tudo com atenção;12;Discordo;Nao concordo nem discordo;Concordo completamente;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;7;110;a capital
82;Masculino;32;de 30 a 34 anos;ensino médio e superior;Expresso;60;Ler tudo com atenção;10;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo;diários e semanários;7;80;a capital
83;Masculino;40;de 40 a 44 anos;ensino médio e superior;Expresso;150;Ler tudo com atenção;10;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;6;180;diário de notícias
84;Masculino;30;de 30 a 34 anos;ensino médio e superior;Expresso;180;Ler tudo com atenção;10;Nao concordo nem discordo;Concordo;Concordo;Concordo completamente;Concordo;Concordo completamente;Concordo;Concordo;Concordo completamente;Concordo;Discordo completamente;diários e semanários;6;200;diário de notícias
85;Masculino;29;de 25 a 29 anos;ensino médio e superior;Expresso;180;Ler tudo com atenção;10;Discordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo;Concordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;Nao concordo nem discordo;diários e semanários;2;220;diário de notícias
88;Masculino;37;de 35 a 39 anos;ensino médio e superior;Expresso;105;Ler tudo com atenção;6;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Nao concordo nem discordo;diários e semanários;9;130;diário de notícias
94;Masculino;28;de 25 a 29 anos;ensino médio e superior;Expresso;105;Ler tudo com atenção;5;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;diários e semanários;13;160;público
97;Masculino;33;de 30 a 34 anos;ensino médio e superior;Expresso;120;Ler tudo com atenção;4;Concordo;Nao concordo nem discordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;19;140;a capital
99;Masculino;34;de 30 a 34 anos;9;Expresso;75;Ler tudo com atenção;8;Concordo;Concordo;Concordo completamente;Concordo completamente;Concordo;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;Concordo completamente;diários e semanários;5;90;a capital
